Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
BARISAL,BD,41950,22.75,90.3667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
CHITTAGONG (AMBAGAN),BD,41977,22.35,91.8167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
COX'S BAZAR,BD,41992,21.4333,91.9333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SRINAGAR (42027-0),IN,42027,34.0833,74.8333,2026-02-03,12:00,12Z,45,53,8,,,48,3,54,9,UWYO,OK,Exact 250 mb level.
JAMMU,IN,42056,32.6667,74.8333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SUNDERNAGAR,IN,42079,31.5333,76.9,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
PATIALA,IN,42101,30.3333,76.4667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
DEHRADUN,IN,42111,30.2833,78.0833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
GANGANAGAR,IN,42123,29.9167,73.8833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
CHURU,IN,42170,28.25,74.9167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
NEW DELHI/SAFDARJUNG,IN,42182,28.5833,77.2,2026-02-04,00:00,00Z,62,56,-6,,,58,-4,60,-3,UWYO,OK,Exact 250 mb level.
BAREILLY,IN,42189,28.3667,79.4,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
PASIGHAT,IN,42220,28.1,95.3833,2026-02-04,00:00,00Z,110,106,-5,,,112,2,110,0,UWYO,OK,Exact 250 mb level.
BAHRAICH,IN,42273,27.5678,81.5939,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
GANGTOK,IN,42299,27.3333,88.6167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
DIBRUGARH /MOHANBARI,IN,42314,27.4833,95.0167,2026-02-04,00:00,00Z,119,108,-11,,,115,-4,115,-4,UWYO,OK,Exact 250 mb level.
JAISALMER,IN,42328,26.9,70.9167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
JODHPUR,IN,42339,26.3,73.0167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
JAIPUR / SANGANER,IN,42348,26.8167,75.8,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
GWALIOR,IN,42361,26.2333,78.25,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
LUCKNOW/AMAUSI,IN,42369,26.75,80.8833,2026-02-04,00:00,00Z,71,59,-12,,,66,-5,67,-4,UWYO,OK,Exact 250 mb level.
