Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
HANTY-MANSIJSK,RU,23933,61.0278,69.1189,2/3/2026,0:00,00Z,41,38,-3,,,34,-7,44,3,UWYO,OK,Exact 250 mb level.
ALEKSANDROVSKOE,RU,23955,60.4333,77.8667,2/3/2026,0:00,00Z,54,50,-5,,,53,-1,49,-5,UWYO,OK,Exact 250 mb level.
OLENEK (RS),RU,24122,68.5,112.4333,2/3/2026,0:00,00Z,17,14,-3,,,16,-1,19,2,UWYO,OK,Exact 250 mb level.
VERHOJANSK,RU,24266,67.5667,133.4,2/3/2026,0:00,00Z,14,12,-2,,,12,-2,15,1,UWYO,OK,Exact 250 mb level.
ZHIGANSK,RU,24343,66.7667,123.4,2/2/2026,12:00,12Z,19,18,-1,,,18,-1,20,1,UWYO,OK,Exact 250 mb level.
TURA (24507-0),RU,24507,64.2694,100.2167,2/3/2026,0:00,00Z,21,20,-1,,,22,1,23,2,UWYO,OK,Exact 250 mb level.
VILJUJSK,RU,24641,63.7833,121.6167,2/3/2026,0:00,00Z,29,25,-4,,,25,-4,28,-1,UWYO,OK,Exact 250 mb level.
OJMJAKON,RU,24688,63.25,143.15,2/3/2026,0:00,00Z,23,24,1,,,23,0,25,2,UWYO,OK,Exact 250 mb level.
MIRNVY,RU,24726,62.5333,113.8667,2/3/2026,0:00,00Z,10,10,0,,,10,0,11,1,UWYO,OK,Exact 250 mb level.
VANAVARA,RU,24908,60.3361,102.2944,2/3/2026,0:00,00Z,29,32,3,,,28,-1,29,0,UWYO,OK,Exact 250 mb level.
OLEKMINSK (RS),RU,24947,60.3667,120.4167,2/3/2026,0:00,00Z,12,10,-2,,,9,-3,13,1,UWYO,OK,Exact 250 mb level.
JAKUTSK,RU,24959,62.0167,129.7167,2/3/2026,0:00,00Z,16,15,-1,,,16,0,18,2,UWYO,OK,Exact 250 mb level.
CHERSKIJ,RU,25123,68.75,161.2833,2/3/2026,0:00,00Z,14,13,-1,,,14,0,13,-1,UWYO,OK,Exact 250 mb level.
ZYRYANKA (RS),RU,25403,65.7333,150.9,2/3/2026,0:00,00Z,27,31,4,,,25,-2,26,-2,UWYO,OK,Exact 250 mb level.
OMOLON,RU,25428,65.2333,160.5333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SEJMCHAN,RU,25703,62.9167,152.4167,2/3/2026,0:00,00Z,29,29,0,,,28,-1,27,-2,UWYO,OK,Exact 250 mb level.
VISBY AEROLOGISKA STATION,SE,2591,57.65,18.35,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
MAGADAN,RU,25913,59.55,150.7833,2/3/2026,0:00,00Z,31,30,-1,,,30,-1,27,-4,UWYO,OK,Exact 250 mb level.
RADAR WRM 200,EE,26038,59.3983,24.6042,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
ST.PETERSBURG (VOEJKOVO) (RS),RU,26075,59.95,30.7,2/3/2026,0:00,00Z,17,16,-1,,,16,-1,18,1,UWYO,OK,Exact 250 mb level.
BOLOGOE,RU,26298,57.8833,34.0333,2/3/2026,0:00,00Z,37,36,-1,,,32,-4,36,0,UWYO,OK_ESTIMATED,Interpolated from 262/211 mb
SKRIVERI,LV,26435,56.6425,25.1283,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
VELIKIE LUKI,RU,26477,56.35,30.6167,2/3/2026,0:00,00Z,27,25,-2,,,24,-3,24,-3,UWYO,OK,Exact 250 mb level.
KAUNAS (26629-0),LT,26629,54.8839,23.8358,2/2/2026,12:00,12Z,23,21,-2,,,22,-1,24,1,UWYO,OK,Exact 250 mb level.
KALININGRAD (NIZOV'E),RU,26708,54.6964,20.7658,2/3/2026,0:00,00Z,19,18,-1,,,18,-2,18,-1,UWYO,OK,Exact 250 mb level.
SMOLENSK,RU,26781,54.75,32.0667,2/3/2026,0:00,00Z,27,24,-3,,,27,0,27,0,UWYO,OK_ESTIMATED,Interpolated from 270/210 mb
MINSK,BY,26850,53.9286,27.6353,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
VOLOGDA (27038-0),RU,27038,59.3183,39.9256,2/3/2026,0:00,00Z,21,21,-1,,,18,-4,19,-2,UWYO,OK,Exact 250 mb level.
KIROV (27199-0),RU,27199,58.5667,49.5667,2/3/2026,0:00,00Z,56,58,2,,,57,1,50,-6,UWYO,OK_ESTIMATED,Interpolated from 263/219 mb
KAZAN'(VYAZOVYE),RU,27594,55.8153,48.5106,2/3/2026,0:00,00Z,58,77,19,,,71,13,76,18,UWYO,OK,Exact 250 mb level.
SUHINICHI,RU,27707,54.1,35.35,2/3/2026,0:00,00Z,30,38,8,,,33,3,33,2,UWYO,OK_ESTIMATED,Interpolated from 261/248 mb
MOSKVA (DOLGOPRUDNYJ) (RS),RU,27713,55.93,37.5183,2/3/2026,0:00,00Z,17,24,7,,,23,6,23,6,UWYO,OK_ESTIMATED,Interpolated from 276/230 mb
RYAZAN,RU,27730,54.6333,39.7,2/2/2026,12:00,12Z,47,48,1,,,45,-1,49,2,UWYO,OK_ESTIMATED,Interpolated from 251/235 mb
PENZA,RU,27962,53.1228,45.0189,2/3/2026,0:00,00Z,76,75,-1,,,68,-8,70,-7,UWYO,OK,Exact 250 mb level.
SAMARA (BEZENCHUK),RU,27995,52.9833,49.4333,2/3/2026,0:00,00Z,78,85,7,,,75,-3,83,5,UWYO,OK,Exact 250 mb level.
PERM' (28225-1),RU,28225,57.9583,56.1972,2/3/2026,0:00,00Z,54,68,14,,,54,0,51,-4,UWYO,OK,Exact 250 mb level.
